LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 110.0, 52546.0, 2408448, 257.0, 52756.0, 602112, 511.0, 53119.0, 1048576, -25166.0, -1.0, 202800, -6292.0, -1.0, 9408, 53119.0, 57214.0, 1048576,
1, 193.0, 55036.0, 1081600, 257.0, 55163.0, 274432, 511.0, 55357.0, 1081600, -113246.0, -1.0, 1081600, -6292.0, -1.0, 4096, 53631.0, 55738.0, 1081855,
2, 1.0, 158786.0, 9437184, 257.0, 158913.0, 2359296, 511.0, 159359.0, 3145728, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 53631.0, 163455.0, 3145983,
3, 193.0, 67708.0, 1081600, 257.0, 68027.0, 1097728, 511.0, 68221.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 16863.0, 68989.0, 4326655,
4, 193.0, 67708.0, 1081600, 257.0, 68027.0, 1097728, 511.0, 68221.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 16863.0, 68989.0, 4326655,
5, 1.0, 55036.0, 4326400, 257.0, 55355.0, 1097728, 511.0, 55357.0, 1081600, -314570.0, 39266.0, 4326400, -6292.0, -1.0, 16384, 53631.0, 55738.0, 1081855,
6, 1.0, 158786.0, 9437184, 257.0, 158913.0, 2359296, 511.0, 159359.0, 3145728, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 53631.0, 163455.0, 3145983,
7, 193.0, 67708.0, 1081600, 257.0, 68027.0, 1097728, 511.0, 68221.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 16863.0, 68989.0, 4326655,
8, 1.0, 55036.0, 4326400, 257.0, 55355.0, 1097728, 511.0, 55357.0, 1081600, -314570.0, 39266.0, 4326400, -6292.0, -1.0, 16384, 53631.0, 55738.0, 1081855,
9, 1.0, 158786.0, 9437184, 257.0, 158913.0, 2359296, 511.0, 159359.0, 3145728, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 53631.0, 163455.0, 3145983,
10, 193.0, 67708.0, 1081600, 257.0, 68027.0, 1097728, 511.0, 68221.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 16863.0, 68989.0, 4326655,
