LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 41771.0, 2408448, 1.0, 41601.0, 602112, 146.0, 41855.0, 1081344, -25166.0, -1.0, 202800, -6292.0, -1.0, 9408, 42047.0, 46142.0, 1048576,
1, 1.0, 37951.0, 1081600, 1.0, 38011.0, 274432, 63.0, 38265.0, 1115904, -113246.0, -1.0, 1081600, -6292.0, -1.0, 4096, 36799.0, 38586.0, 1081855,
2, 1.0, 69249.0, 9437184, 1.0, 69057.0, 2359296, 575.0, 69311.0, 1081344, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 69503.0, 73598.0, 1048576,
3, 1.0, 37951.0, 1081600, 1.0, 38203.0, 1097728, 63.0, 38457.0, 4360704, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 9247.0, 38973.0, 4326655,
4, 1.0, 37951.0, 1081600, 1.0, 38203.0, 1097728, 63.0, 38457.0, 4360704, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 9247.0, 38973.0, 4326655,
5, 1.0, 50815.0, 4326400, 1.0, 50875.0, 1097728, 255.0, 51129.0, 1115904, -314570.0, 36506.0, 4326400, -6292.0, -1.0, 16384, 49279.0, 51450.0, 1081855,
6, 1.0, 69249.0, 9437184, 1.0, 69057.0, 2359296, 575.0, 69311.0, 1081344, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 69503.0, 73598.0, 1048576,
7, 1.0, 37951.0, 1081600, 1.0, 38203.0, 1097728, 63.0, 38457.0, 4360704, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 9247.0, 38973.0, 4326655,
8, 1.0, 50815.0, 4326400, 1.0, 50875.0, 1097728, 255.0, 51129.0, 1115904, -314570.0, 36506.0, 4326400, -6292.0, -1.0, 16384, 49279.0, 51450.0, 1081855,
9, 1.0, 69249.0, 9437184, 1.0, 69057.0, 2359296, 575.0, 69311.0, 1081344, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 69503.0, 73598.0, 1048576,
10, 1.0, 37951.0, 1081600, 1.0, 38203.0, 1097728, 63.0, 38457.0, 4360704, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 9247.0, 38973.0, 4326655,
11, 1.0, 50815.0, 4326400, 1.0, 50939.0, 2195456, 255.0, 51193.0, 2197504, -314570.0, 36506.0, 4326400, -6292.0, -1.0, 32768, 24767.0, 51579.0, 2163455,
12, 1.0, 27806.0, 4867200, 1.0, 27871.0, 2506752, 1151.0, 28125.0, 549504, -220199.0, -1.0, 2163200, -18875.0, -1.0, 147456, 28253.0, 30365.0, 540800,
13, 1.0, 21310.0, 1081600, 1.0, 21437.0, 1114112, 127.0, 21691.0, 2180608, -56623.0, -1.0, 540800, -12583.0, -1.0, 65536, 10462.0, 21949.0, 2163455,
14, 1.0, 7214.0, 557568, 1.0, 7405.0, 655360, 255.0, 7659.0, 562688, -31457.0, -1.0, 278784, -18875.0, -1.0, 131072, 7659.0, 9836.0, 557568,
15, 1.0, 4664.0, 557568, 1.0, 4727.0, 327680, 511.0, 4981.0, 141952, -56623.0, -1.0, 557568, -12583.0, -1.0, 65536, 5109.0, 5653.0, 139392,
16, 1.0, 6330.0, 1107072, 1.0, 6265.0, 589824, 1151.0, 6519.0, 125056, -18875.0, -1.0, 139392, -18875.0, -1.0, 147456, 6647.0, 7127.0, 123008,
17, 1.0, 5934.0, 278784, 1.0, 6125.0, 327680, 127.0, 6379.0, 562688, -18875.0, -1.0, 139392, -12583.0, -1.0, 65536, 6379.0, 8556.0, 557568,
18, 1.0, 4664.0, 557568, 1.0, 4727.0, 327680, 511.0, 4981.0, 141952, -56623.0, -1.0, 557568, -12583.0, -1.0, 65536, 5109.0, 5653.0, 139392,
19, 1.0, 6330.0, 1107072, 1.0, 6265.0, 589824, 1151.0, 6519.0, 125056, -18875.0, -1.0, 139392, -18875.0, -1.0, 147456, 6647.0, 7127.0, 123008,
20, 1.0, 5934.0, 278784, 1.0, 6125.0, 327680, 127.0, 6379.0, 562688, -18875.0, -1.0, 139392, -12583.0, -1.0, 65536, 6379.0, 8556.0, 557568,
21, 1.0, 4664.0, 557568, 1.0, 4727.0, 327680, 511.0, 4981.0, 141952, -56623.0, -1.0, 557568, -12583.0, -1.0, 65536, 5109.0, 5653.0, 139392,
22, 1.0, 6330.0, 1107072, 1.0, 6265.0, 589824, 1151.0, 6519.0, 125056, -18875.0, -1.0, 139392, -18875.0, -1.0, 147456, 6647.0, 7127.0, 123008,
23, 1.0, 5934.0, 278784, 1.0, 6125.0, 327680, 127.0, 6379.0, 562688, -18875.0, -1.0, 139392, -12583.0, -1.0, 65536, 6379.0, 8556.0, 557568,
24, 1.0, 4664.0, 557568, 1.0, 4855.0, 655360, 511.0, 5109.0, 281344, -56623.0, -1.0, 557568, -18875.0, -1.0, 131072, 5109.0, 6197.0, 278784,
25, 1.0, 2559.0, 589824, 1.0, 2559.0, 589824, 2303.0, 2813.0, 66048, -31457.0, -1.0, 278784, -62914.0, -1.0, 589824, 2813.0, 3068.0, 65536,
26, 1.0, 5650.0, 295936, 1.0, 5873.0, 524288, 255.0, 6127.0, 300032, -12583.0, -1.0, 73984, -31457.0, -1.0, 262144, 6127.0, 7282.0, 295936,
27, 1.0, 3658.0, 165888, 1.0, 3833.0, 524288, 686.0, 4087.0, 84992, -6292.0, -1.0, 41472, -56623.0, -1.0, 524288, 4087.0, 4410.0, 82944,
28, 1.0, 1104.0, 82944, 1.0, 1279.0, 262144, 1198.0, 1533.0, 21248, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 1533.0, 1613.0, 20736,
29, 1.0, 2352.0, 112896, 1.0, 2559.0, 589824, 2510.0, 2813.0, 13056, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 2813.0, 2861.0, 12544,
30, 1.0, 2634.0, 82944, 1.0, 2809.0, 262144, 430.0, 3063.0, 84992, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3063.0, 3386.0, 82944,
31, 1.0, 1104.0, 82944, 1.0, 1279.0, 262144, 1198.0, 1533.0, 21248, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 1533.0, 1613.0, 20736,
32, 1.0, 2352.0, 112896, 1.0, 2559.0, 589824, 2510.0, 2813.0, 13056, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 2813.0, 2861.0, 12544,
33, 1.0, 2634.0, 82944, 1.0, 2809.0, 262144, 430.0, 3063.0, 84992, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3063.0, 3386.0, 82944,
34, 1.0, 1104.0, 82944, 1.0, 1279.0, 262144, 1198.0, 1533.0, 21248, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 1533.0, 1613.0, 20736,
35, 1.0, 2352.0, 112896, 1.0, 2559.0, 589824, 2510.0, 2813.0, 13056, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 2813.0, 2861.0, 12544,
