LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 17917, 0, 3.2817994083830997, 3.5888671875, 3.190623473872701,
1, 18433, 0, 1.4325530298920415, 1.5625, 1.3938374241224598,
2, 35835, 0, 6.429468396818753, 7.03125, 6.251017418199576,
3, 18433, 0, 5.730212119568166, 6.25, 5.575349696489839,
4, 18433, 0, 5.730212119568166, 6.25, 5.575349696489839,
5, 18433, 0, 5.730212119568166, 6.25, 5.575349696489839,
6, 35835, 0, 6.429468396818753, 7.03125, 6.251017418199576,
7, 18433, 0, 5.730212119568166, 6.25, 5.575349696489839,
8, 18433, 0, 5.730212119568166, 6.25, 5.575349696489839,
9, 35835, 0, 6.429468396818753, 7.03125, 6.251017418199576,
10, 18433, 0, 5.730212119568166, 6.25, 5.575349696489839,
11, 18433, 0, 11.460424239136332, 12.5, 11.150699392979678,
12, 17276, 0, 13.756439569344757, 18.75, 12.63456937799043,
13, 5758, 0, 18.344043070510594, 25.0, 16.84609250398724,
14, 2622, 0, 20.766590389016017, 50.0, 17.373962986598595,
15, 2622, 0, 10.383295194508008, 25.0, 8.686981493299298,
16, 7484, 0, 7.222908872260823, 18.75, 5.994261477045908,
17, 2622, 0, 10.383295194508008, 25.0, 8.686981493299298,
18, 2622, 0, 10.383295194508008, 25.0, 8.686981493299298,
19, 7484, 0, 7.222908872260823, 18.75, 5.994261477045908,
20, 2622, 0, 10.383295194508008, 25.0, 8.686981493299298,
21, 2622, 0, 10.383295194508008, 25.0, 8.686981493299298,
22, 7484, 0, 7.222908872260823, 18.75, 5.994261477045908,
23, 2622, 0, 10.383295194508008, 25.0, 8.686981493299298,
24, 2622, 0, 20.766590389016017, 50.0, 17.373962986598595,
25, 8949, 0, 6.43647334897754, 45.0, 5.00651890482399,
26, 3645, 0, 7.928669410150891, 50.0, 6.1910882604970014,
27, 3229, 0, 5.017033137194177, 100.0, 3.80997177798683,
28, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
29, 7914, 0, 1.3931008339651252, 45.0, 1.0530085959885387,
30, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
31, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
32, 7914, 0, 1.3931008339651252, 45.0, 1.0530085959885387,
33, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
34, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
35, 7914, 0, 1.3931008339651252, 45.0, 1.0530085959885387,
36, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
37, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
38, 7914, 0, 1.3931008339651252, 45.0, 1.0530085959885387,
39, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
40, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
41, 7914, 0, 1.3931008339651252, 45.0, 1.0530085959885387,
42, 3229, 0, 2.5085165685970887, 50.0, 1.904985888993415,
43, 3229, 0, 5.017033137194177, 100.0, 3.80997177798683,
44, 13949, 0, 1.0323320668148255, 100.0, 0.7763221737020863,
45, 6235, 0, 1.6038492381716118, 100.0, 1.2077294685990339,
46, 12343, 0, 0.5833265818682654, 100.0, 0.43816942551119775,
47, 6171, 0, 0.583373845405931, 100.0, 0.4381694255111977,
48, 13814, 0, 0.06515129578688288, 100.0, 0.04887585532746823,
49, 6171, 0, 0.583373845405931, 100.0, 0.4381694255111977,
50, 6171, 0, 0.583373845405931, 100.0, 0.4381694255111977,
51, 13814, 0, 0.06515129578688288, 100.0, 0.04887585532746823,
52, 6171, 0, 0.583373845405931, 100.0, 0.4381694255111977,
53, 6171, 0, 0.2916869227029655, 50.0, 0.21908471275559885,
