LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 513.0, 17020.0, 2408448, 366.0, 512.0, 9408, 1023.0, 17469.0, 1048576, -25166.0, -1.0, 202800, -6292.0, -1.0, 9408, 17917.0, 19964.0, 1048576,
1, 513.0, 17475.0, 1081600, 449.0, 512.0, 4096, 1023.0, 17985.0, 1081600, -113246.0, -1.0, 1081600, -6292.0, -1.0, 4096, 17438.0, 18498.0, 1082111,
2, 513.0, 34877.0, 9437184, 1.0, 18430.0, 36864, 1023.0, 35387.0, 2097152, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 18941.0, 37883.0, 2097663,
3, 513.0, 17475.0, 1081600, 449.0, 512.0, 16384, 1023.0, 18177.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 5246.0, 18691.0, 4326911,
4, 513.0, 17475.0, 1081600, 449.0, 512.0, 16384, 1023.0, 18177.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 5246.0, 18691.0, 4326911,
5, 513.0, 17667.0, 4326400, 257.0, 512.0, 16384, 1023.0, 17985.0, 1081600, -314058.0, 12928.0, 4326400, -6292.0, -1.0, 16384, 17438.0, 18498.0, 1082111,
6, 513.0, 34877.0, 9437184, 1.0, 18430.0, 36864, 1023.0, 35387.0, 2097152, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 18941.0, 37883.0, 2097663,
7, 513.0, 17475.0, 1081600, 449.0, 512.0, 16384, 1023.0, 18177.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 5246.0, 18691.0, 4326911,
8, 513.0, 17667.0, 4326400, 257.0, 512.0, 16384, 1023.0, 17985.0, 1081600, -314058.0, 12928.0, 4326400, -6292.0, -1.0, 16384, 17438.0, 18498.0, 1082111,
9, 513.0, 34877.0, 9437184, 1.0, 18430.0, 36864, 1023.0, 35387.0, 2097152, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 18941.0, 37883.0, 2097663,
10, 513.0, 17475.0, 1081600, 449.0, 512.0, 16384, 1023.0, 18177.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 5246.0, 18691.0, 4326911,
11, 513.0, 17667.0, 4326400, 257.0, 512.0, 32768, 1023.0, 18049.0, 2163200, -314058.0, 12928.0, 4326400, -6292.0, -1.0, 32768, 9278.0, 18562.0, 2163711,
12, 513.0, 16316.0, 4867200, 1.0, 12030.0, 147456, 1023.0, 16892.0, 1622400, -220199.0, -1.0, 2163200, -18875.0, -1.0, 147456, 10812.0, 18397.0, 1622911,
13, 513.0, 4864.0, 540800, 385.0, 512.0, 65536, 1023.0, 5758.0, 2163200, -56623.0, -1.0, 540800, -12583.0, -1.0, 65536, 3326.0, 5887.0, 2163711,
14, 513.0, 1856.0, 278784, 257.0, 512.0, 131072, 1023.0, 2622.0, 557568, -31457.0, -1.0, 278784, -18875.0, -1.0, 131072, 2622.0, 3710.0, 557568,
15, 513.0, 2112.0, 557568, 1.0, 512.0, 65536, 1023.0, 2238.0, 139392, -56623.0, -1.0, 557568, -12583.0, -1.0, 65536, 2622.0, 2894.0, 139392,
16, 513.0, 6590.0, 1107072, 1.0, 5502.0, 147456, 1023.0, 7100.0, 369024, -18875.0, -1.0, 139392, -18875.0, -1.0, 147456, 7484.0, 8204.0, 369024,
17, 513.0, 1728.0, 139392, 385.0, 512.0, 65536, 1023.0, 2622.0, 557568, -18875.0, -1.0, 139392, -12583.0, -1.0, 65536, 2622.0, 3710.0, 557568,
18, 513.0, 2112.0, 557568, 1.0, 512.0, 65536, 1023.0, 2238.0, 139392, -56623.0, -1.0, 557568, -12583.0, -1.0, 65536, 2622.0, 2894.0, 139392,
19, 513.0, 6590.0, 1107072, 1.0, 5502.0, 147456, 1023.0, 7100.0, 369024, -18875.0, -1.0, 139392, -18875.0, -1.0, 147456, 7484.0, 8204.0, 369024,
20, 513.0, 1728.0, 139392, 385.0, 512.0, 65536, 1023.0, 2622.0, 557568, -18875.0, -1.0, 139392, -12583.0, -1.0, 65536, 2622.0, 3710.0, 557568,
21, 513.0, 2112.0, 557568, 1.0, 512.0, 65536, 1023.0, 2238.0, 139392, -56623.0, -1.0, 557568, -12583.0, -1.0, 65536, 2622.0, 2894.0, 139392,
22, 513.0, 6590.0, 1107072, 1.0, 5502.0, 147456, 1023.0, 7100.0, 369024, -18875.0, -1.0, 139392, -18875.0, -1.0, 147456, 7484.0, 8204.0, 369024,
23, 513.0, 1728.0, 139392, 385.0, 512.0, 65536, 1023.0, 2622.0, 557568, -18875.0, -1.0, 139392, -12583.0, -1.0, 65536, 2622.0, 3710.0, 557568,
24, 513.0, 2112.0, 557568, 1.0, 512.0, 131072, 1023.0, 2366.0, 278784, -56623.0, -1.0, 557568, -18875.0, -1.0, 131072, 2622.0, 3166.0, 278784,
25, 513.0, 8183.0, 589824, 1.0, 7672.0, 589824, 1023.0, 8693.0, 327680, -31457.0, -1.0, 278784, -62914.0, -1.0, 589824, 8949.0, 9588.0, 327680,
26, 513.0, 2879.0, 147968, 257.0, 2335.0, 262144, 1023.0, 3645.0, 295936, -12583.0, -1.0, 73984, -31457.0, -1.0, 262144, 3645.0, 4222.0, 295936,
27, 513.0, 2719.0, 82944, 1.0, 2127.0, 524288, 1023.0, 3229.0, 82944, -6292.0, -1.0, 41472, -56623.0, -1.0, 524288, 3229.0, 3390.0, 82944,
28, 513.0, 2719.0, 82944, 1.0, 2127.0, 262144, 1023.0, 2973.0, 41472, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 3229.0, 3309.0, 41472,
29, 513.0, 7148.0, 112896, 1.0, 6844.0, 589824, 1023.0, 7658.0, 62720, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 7914.0, 8036.0, 62720,
30, 513.0, 2463.0, 41472, 257.0, 2127.0, 262144, 1023.0, 3229.0, 82944, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3229.0, 3390.0, 82944,
31, 513.0, 2719.0, 82944, 1.0, 2127.0, 262144, 1023.0, 2973.0, 41472, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 3229.0, 3309.0, 41472,
32, 513.0, 7148.0, 112896, 1.0, 6844.0, 589824, 1023.0, 7658.0, 62720, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 7914.0, 8036.0, 62720,
33, 513.0, 2463.0, 41472, 257.0, 2127.0, 262144, 1023.0, 3229.0, 82944, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3229.0, 3390.0, 82944,
34, 513.0, 2719.0, 82944, 1.0, 2127.0, 262144, 1023.0, 2973.0, 41472, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 3229.0, 3309.0, 41472,
35, 513.0, 7148.0, 112896, 1.0, 6844.0, 589824, 1023.0, 7658.0, 62720, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 7914.0, 8036.0, 62720,
36, 513.0, 2463.0, 41472, 257.0, 2127.0, 262144, 1023.0, 3229.0, 82944, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3229.0, 3390.0, 82944,
37, 513.0, 2719.0, 82944, 1.0, 2127.0, 262144, 1023.0, 2973.0, 41472, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 3229.0, 3309.0, 41472,
38, 513.0, 7148.0, 112896, 1.0, 6844.0, 589824, 1023.0, 7658.0, 62720, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 7914.0, 8036.0, 62720,
39, 513.0, 2463.0, 41472, 257.0, 2127.0, 262144, 1023.0, 3229.0, 82944, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3229.0, 3390.0, 82944,
40, 513.0, 2719.0, 82944, 1.0, 2127.0, 262144, 1023.0, 2973.0, 41472, -12583.0, -1.0, 82944, -31457.0, -1.0, 262144, 3229.0, 3309.0, 41472,
41, 513.0, 7148.0, 112896, 1.0, 6844.0, 589824, 1023.0, 7658.0, 62720, -6292.0, -1.0, 20736, -62914.0, -1.0, 589824, 7914.0, 8036.0, 62720,
42, 513.0, 2463.0, 41472, 257.0, 2127.0, 262144, 1023.0, 3229.0, 82944, -6292.0, -1.0, 20736, -31457.0, -1.0, 262144, 3229.0, 3390.0, 82944,
43, 513.0, 2719.0, 82944, 1.0, 2127.0, 524288, 1023.0, 3229.0, 82944, -12583.0, -1.0, 82944, -56623.0, -1.0, 524288, 3229.0, 3390.0, 82944,
44, 513.0, 13439.0, 73728, 1.0, 12912.0, 2359296, 1023.0, 13949.0, 73728, -6292.0, -1.0, 41472, -239074.0, -1.0, 2359296, 13949.0, 14092.0, 73728,
45, 513.0, 5725.0, 51200, 1.0, 5189.0, 1048576, 1023.0, 6235.0, 51200, -6292.0, -1.0, 12800, -106954.0, -1.0, 1048576, 6235.0, 6334.0, 51200,
46, 513.0, 11833.0, 36864, 1.0, 11313.0, 2097152, 1023.0, 12343.0, 36864, -6292.0, -1.0, 9216, -213908.0, -1.0, 2097152, 12343.0, 12414.0, 36864,
47, 513.0, 5661.0, 18432, 1.0, 5141.0, 1048576, 1023.0, 6171.0, 18432, -6292.0, -1.0, 18432, -106954.0, -1.0, 1048576, 6171.0, 6206.0, 18432,
48, 513.0, 13304.0, 4608, 1.0, 12792.0, 2359296, 1023.0, 13814.0, 4608, -6292.0, -1.0, 4608, -239074.0, -1.0, 2359296, 13814.0, 13822.0, 4608,
