LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 33167.0, 2408448, 1.0, 16894.0, 9408, 255.0, 33467.0, 2097152, -25166.0, -1.0, 202800, -6292.0, -1.0, 9408, 17021.0, 41723.0, 2097279,
1, 129.0, 17091.0, 1081600, 65.0, 128.0, 4096, 255.0, 17217.0, 1081600, -113246.0, -1.0, 1081600, -6292.0, -1.0, 4096, 16670.0, 17539.0, 1081727,
2, 129.0, 83639.0, 9437184, 1.0, 67192.0, 36864, 255.0, 83765.0, 5242880, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 17021.0, 92021.0, 5243007,
3, 129.0, 34373.0, 2163200, 65.0, 17410.0, 16384, 255.0, 34563.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 8510.0, 35595.0, 4326527,
4, 129.0, 34373.0, 2163200, 65.0, 17410.0, 16384, 255.0, 34563.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 8510.0, 35595.0, 4326527,
5, 129.0, 34437.0, 4326400, 1.0, 17410.0, 16384, 255.0, 34499.0, 2163200, -314442.0, 25150.0, 4326400, -6292.0, -1.0, 16384, 16670.0, 35079.0, 2163327,
6, 129.0, 83639.0, 9437184, 1.0, 67192.0, 36864, 255.0, 83765.0, 5242880, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 17021.0, 92021.0, 5243007,
7, 129.0, 34373.0, 2163200, 65.0, 17410.0, 16384, 255.0, 34563.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 8510.0, 35595.0, 4326527,
8, 129.0, 34437.0, 4326400, 1.0, 17410.0, 16384, 255.0, 34499.0, 2163200, -314442.0, 25150.0, 4326400, -6292.0, -1.0, 16384, 16670.0, 35079.0, 2163327,
9, 129.0, 83639.0, 9437184, 1.0, 67192.0, 36864, 255.0, 83765.0, 5242880, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 17021.0, 92021.0, 5243007,
